cpg mean
cg20180092 0.0165238514789175
cg13505011 0.0108289804908748
cg16347018 0.0205545626179987
cg02119577 0.841324732536187
cg02082304 0.0117488735053493
cg23579185 0.721993077407175
cg11029346 0.0123974826935179
cg20324110 0.910466016362493
cg27115863 0.371732347388295
cg03515372 0.966032724984269
cg12718519 0.257782567652612
cg17708456 0.0353212712397735
cg09053680 0.0488085084959094
cg07955088 0.0342733794839522
cg09487134 0.681445563247324
cg06662140 0.959664568911271
cg11669516 0.632053492762744
cg15905960 0.0169934550031466
cg07479092 0.0176016803020768
cg06204376 0.056436438011328
cg01647632 0.0492709565764631
cg00989765 0.0472080553807426
cg04917181 0.0480064505978603
cg19160975 0.0303935179358086
cg16548780 0.325442416614223
cg09345431 0.0143237256135935
cg21638219 0.0290349905601007
cg27553457 0.709675896790434
cg09354581 0.921438011327879
cg04778852 0.0165795154185022
cg16117273 0.225313845185651
cg00014380 0.860915670232851
cg26033520 0.785536186280679
cg07696178 0.0140444996853367
cg23842572 0.731529893014475
cg06172475 0.0363782252989301
cg19591588 0.0151708684707363
cg10158843 0.839995594713657
cg00136643 0.0322336689741977
cg03405315 0.0266912020138452
cg03657573 0.0221838263058527
cg10198271 0.0171358527375708
cg27152890 0.245632787916929
cg11738421 0.0324093455003147
cg19125323 0.012546658275645
cg02803037 0.119040465701699
cg05575921 0.817699181875392
cg21893842 0.0395269351793581
cg05898618 0.790322215229704
cg03755177 0.0333755191944619
cg15536651 0.531086406544997
cg19341344 0.0119073631214601
cg11877254 0.339558023914412
cg09692396 0.250008307111391
cg08704562 0.168472624292008
cg02004418 0.0293704216488357
cg07251711 0.0400784770295783
cg04110224 0.0311791063561988
cg27550262 0.0303891126494651
cg05048259 0.963335431088735
cg01079738 0.901747640025173
cg01241301 0.0168437382001258
cg06532546 0.812018250471995
cg16619777 0.947135305223409
cg26410105 0.022023127753304
cg15925940 0.0675063247325363
cg01044695 0.0158831969792322
cg01411731 0.0158521397105098
cg02581302 0.924247954688482
cg05502081 0.0202162995594713
cg21171130 0.0106130837004405
cg18491397 0.928724984266835
cg08704539 0.451069855254877
cg17876806 0.0226707740717432
cg11253191 0.976158590308377
cg11113760 0.0197215166771555
cg02656741 0.0246962869729389
cg06270799 0.235488483322845
cg02167713 0.785584015103839
cg05491000 0.967814977973568
cg17287155 0.932024543738203
cg12595647 0.0165147514159849
cg06494844 0.888002517306481
cg05658887 0.0352611390811832
cg05692422 0.846480176211455
cg12641578 0.0570415355569541
cg16684259 0.0137351982378855
cg11825621 0.0307168596601636
cg16998213 0.013109968533669
cg19656070 0.0214037130270611
cg00927228 0.608329578351165
cg25120326 0.342878477029578
cg16146259 0.95464505978603
cg21025231 0.0148168596601636
cg24575619 0.0298387350534928
cg18241904 0.0139846821900566
cg11103390 0.303307866582757
cg08126203 0.0497351164254249
cg23056966 0.0145880868470736
cg04257889 0.0127855884203902
cg12351660 0.0136928634361234
cg02266348 0.0146732850849591
cg03582047 0.813594084329767
cg08908267 0.0189938325991189
cg14383135 0.0250059786028948
cg26246928 0.0172505978602895
cg04360780 0.012612699811202
cg07318204 0.736537444933921
cg26150966 0.0127674197608559
cg15063453 0.0221153555695405
cg14755254 0.245674386406545
cg04099767 0.769923222152297
cg21638161 0.103389647577092
cg18149689 0.0264303272498427
cg11858114 0.330798552548773
cg13918754 0.0595035871617369
cg20279598 0.125019068596601
cg01285926 0.513653870358715
cg06696911 0.987908118313422
cg05625806 0.935996224040276
cg23371433 0.463614222781623
cg13398472 0.13004140969163
cg05127553 0.0279302706104468
cg00259742 0.718789175582127
cg15328582 0.03455859030837
cg05973401 0.0272387979861548
cg01366354 0.858297671491504
cg20800956 0.0718555695405916
cg02835038 0.0217999811202014
cg02273041 0.0278188797986154
cg13809095 0.783943360604155
cg13607205 0.982902454373809
cg09215316 0.019041472624292
cg21819468 0.0259882315921963
cg06804879 0.0241030207677785
cg21069942 0.358248584015104
cg23929284 0.0320247325361863
cg04001556 0.0148235745752045
cg16562959 0.0463976714915041
cg04887172 0.24063618628068
cg04380800 0.981855254877275
cg00827210 0.899543738200125
cg19878516 0.0404733480176211
cg01577760 0.664191315292637
cg02331450 0.0140334801762115
cg08603836 0.0112343738200126
cg03053893 0.0201842039018251
cg25032205 0.0137425298930145
cg21361971 0.909067337948396
cg21167269 0.398566960352423
cg04816311 0.557252422907488
cg04978360 0.0142626620516048
cg14430982 0.0138370736312146
cg13912673 0.0226353052234109
cg23681311 0.0204685147891756
cg17091361 0.0261184392699811
cg20709984 0.890370673379484
cg20030796 0.985064820641917
cg00511228 0.0206180616740088
cg13221899 0.494863436123348
cg04028315 0.00902271869100064
cg07573872 0.7165122718691
cg20202246 0.512929263687855
cg15078013 0.0401093769666457
cg05674437 0.897339836375079
cg03605037 0.0440930144745122
cg04875128 0.237755154185022
cg08854185 0.754173694147263
cg22028161 0.908389553178097
cg26709579 0.715187539332913
cg26144909 0.650482693517936
cg00400832 0.0424266205160478
cg00435469 0.978074889867842
cg17540765 0.59099937067338
cg18105979 0.412526746381372
cg08517131 0.964736941472626
cg01651570 0.938110761485212
cg05620980 0.461032158590308
cg15306145 0.0183557583385777
cg10714639 0.0622824417872876
cg01101459 0.804539332913782
cg21220264 0.95162240402769
cg07553761 0.47350157331655
cg16865291 0.867420453115167
cg11527326 0.016738804279421
cg00898880 0.809821271239774
cg09401099 0.119941283826306
cg03468739 0.0134742668344871
cg13739680 0.763228445563248
cg13389502 0.523151667715545
cg17255450 0.0217762492133417
cg26661180 0.550081560730018
cg19881557 0.624003775959724
cg20681877 0.598517935808685
cg10310700 0.823882945248584
cg17160751 0.0575831340465701
cg23643435 0.0559436312146003
cg17927777 0.0155573568281938
cg08461949 0.211563373190685
cg12391563 0.0189954688483323
cg21599493 0.0120381938325991
cg01256539 0.636724984266834
cg03963853 0.879828193832599
cg25972499 0.0135694524858401
cg16006120 0.112947891755821
cg20307385 0.0171820453115167
cg03465513 0.19035582127124
cg21321735 0.014542391441158
cg11204212 0.34935733165513
cg09852920 0.0265580113278792
cg25571184 0.0211144115796099
cg21455438 0.0159029893014474
cg11710314 0.0875733794839522
cg19211853 0.137631025802392
cg02281038 0.965339207048461
cg00347882 0.962200125865325
cg20203915 0.0122755632473254
cg06141883 0.0159078665827564
cg23891364 0.686394084329768
cg16269097 0.0949185022026433
cg08676534 0.01364245437382
cg06630425 0.911641913152927
cg27300494 0.0540308370044053
cg03764088 0.481243612334802
cg09981233 0.0993701699181879
cg12210286 0.0204474952800504
cg16957523 0.0778670862177471
cg04653469 0.972477029578354
cg06644124 0.394579609817496
cg00405843 0.0117696349905601
cg22240472 0.0478748898678414
cg12138057 0.0132909565764632
cg14725392 0.122759376966645
cg17047021 0.0385985525487728
cg07805542 0.418679672750157
cg00437166 0.886084329767148
cg06024289 0.0207266834487099
cg10012722 0.280768659534298
cg21566642 0.499240402769037
cg20754983 0.0488652611705474
cg24136318 0.361444933920705
cg02988316 0.0221162366268093
cg27284840 0.00949102580239144
cg15456646 0.0267045311516677
cg20336507 0.0186693517935808
cg15262242 0.0198837004405286
cg09169455 0.249741787287602
cg10804656 0.366278854625551
cg13770495 0.908407803650095
cg11357813 0.010635645059786
cg10986455 0.752604153555695
cg12658972 0.084014329767149
cg16867657 0.719027690371303
cg06305175 0.0145363624921334
cg11652496 0.833012586532412
cg09308026 0.0727826935179357
cg08154107 0.0675988672120829
cg25119870 0.191294084329767
cg06997800 0.0176928193832599
cg10612452 0.0964314663310257
cg16757384 0.510806167400881
cg21833184 0.66958527375708
cg16117744 0.0238684707363122
cg24668061 0.984505349276272
cg18192325 0.80630522341095
cg24289656 0.554358086847073
cg04528152 0.0150631843926998
cg14280424 0.017959723096287
cg19877419 0.0109818691000629
cg00886954 0.0128709188168659
cg01962937 0.0199222152297042
cg23497501 0.0353666456891126
cg09971754 0.01637245437382
cg07439872 0.127190748898678
cg18470125 0.0187186910006293
cg04177089 0.0170716803020768
cg22454769 0.605999370673379
cg03916864 0.0122765198237886
cg21916297 0.924564505978603
cg21256968 0.938458149779735
cg22985134 0.565857772183764
cg22006408 0.884487098804276
cg09548932 0.720849590937697
cg26149678 0.0271461296412838
cg22128067 0.859671491504091
cg07839457 0.409551415984895
cg01145119 0.727370044052864
cg14536845 0.497322592825676
cg10743062 0.432892699811202
cg24287362 0.522964757709251
cg11523618 0.721420390182506
cg27148800 0.277544241661422
cg00506950 0.840977344241661
cg07477034 0.229990874764003
cg12418271 0.832383889238515
cg12630596 0.23807054751416
cg10757188 0.0451540591567024
cg13360562 0.0397984266834487
cg07660891 0.897194461925739
cg00360794 0.153384078036501
cg24929136 0.596212397734425
cg00919591 0.101331340465702
cg10399789 0.79624292007552
cg03080147 0.685383889238516
cg14934253 0.0634667715544368
